nb_factures,montant_ttc_total,montant_ttc_moyen,montant_ttc_max,montant_ttc_std,nb_avoirs,ratio_avoirs,anciennete_jours,nb_reglements,montant_reg_total,montant_reg_moyen,retard_moyen_jours,retard_max_jours,nb_retards_positifs,nb_retards_graves,taux_retard,nb_modes_distincts,ratio_encaissement,gouvernorat_code,nature_client_code,mode_paiement_code,label_risque
2,47602.0,23801.0,23801.0,0.0,0,0.0,263,10,72930.278,7293.028,-43.9,-10,0,0,0.0,1,1.532,17,0,0,0
3,4230.564,1410.188,1647.029,205.762,0,0.0,40,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,17,22,7,1
1,372.087,372.087,372.087,872.701,0,0.0,777,1,372.087,372.087,0.0,0,0,0,0.0,1,1.0,23,20,6,0
1,732.148,732.148,732.148,872.701,0,0.0,98,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,23,11,7,1
2,530.428,265.214,266.048,1.179,1,0.5,726,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,23,16,7,1
1,813.402,813.402,813.402,872.701,1,1.0,40,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,16,7,1
1,108.214,108.214,108.214,872.701,0,0.0,777,1,108.214,108.214,0.0,0,0,0,0.0,1,1.0,13,16,1,0
1,2087.468,2087.468,2087.468,872.701,1,1.0,389,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,2,11,7,1
2,2414.072,1207.036,1208.036,1.414,1,0.5,700,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,2,16,7,1
1,1022.697,1022.697,1022.697,872.701,0,0.0,446,1,1012.47,1012.47,-37.0,-37,0,0,0.0,1,0.99,20,11,5,0
2,1018.434,509.217,516.956,10.945,0,0.0,495,2,1018.434,509.217,0.0,0,0,0,0.0,1,1.0,12,16,1,0
4,1366.262,341.566,511.848,120.408,0,0.0,677,4,1366.262,341.566,-42.75,-19,0,0,0.0,2,1.0,12,16,4,0
2,351.732,175.866,341.566,234.335,1,0.5,306,1,331.4,331.4,0.0,0,0,0,0.0,1,0.942,17,21,1,0
1,121.092,121.092,121.092,872.701,0,0.0,276,1,121.092,121.092,0.0,0,0,0,0.0,1,1.0,17,20,1,0
123,360445.737,2930.453,15210.485,2762.789,22,0.179,785,101,256360.329,2538.221,-26.248,47,10,1,0.099,3,0.711,23,9,5,1
2,17195.123,8597.562,16501.4,11177.716,0,0.0,508,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,23,9,7,1
141,175244.924,1242.872,13506.246,2079.259,18,0.128,511,33,17701.173,536.399,1.0,37,7,1,0.212,4,0.101,0,9,5,1
7,36269.712,5181.387,14445.829,6365.748,1,0.143,115,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,9,7,1
8,6301.664,787.708,1026.361,234.852,2,0.25,777,4,3292.996,823.249,0.0,0,0,0,0.0,2,0.523,23,20,1,0
5,8923.774,1784.755,2827.919,863.713,0,0.0,682,8,10292.835,1286.604,-22.875,0,0,0,0.0,3,1.153,23,11,4,0
3,4333.401,1444.467,1895.074,439.696,0,0.0,682,5,6030.168,1206.034,-30.2,0,0,0,0.0,2,1.392,23,16,4,0
4,3197.555,799.389,1231.466,338.394,0,0.0,567,4,3185.24,796.31,-11.25,0,0,0,0.0,2,0.996,23,21,1,0
23,51820.087,2253.047,6125.177,1585.054,1,0.044,749,34,51501.078,1514.738,-39.294,0,0,0,0.0,4,0.994,23,11,4,0
8,15300.178,1912.522,4704.287,1299.959,1,0.125,696,9,13310.228,1478.914,-39.444,-6,0,0,0.0,2,0.87,23,11,5,0
36,576596.732,16016.576,52292.257,14563.381,6,0.167,745,39,394284.986,10109.871,-27.051,0,0,0,0.0,5,0.684,23,11,5,0
32,56589.4,1768.419,4360.144,1204.807,3,0.094,766,31,46102.942,1487.192,-46.0,0,0,0,0.0,3,0.815,23,11,5,0
13,39265.987,3020.461,4715.706,1224.423,1,0.077,745,11,32348.711,2940.792,-20.636,0,0,0,0.0,2,0.824,23,11,5,0
2,978.894,489.447,585.12,135.302,0,0.0,721,4,978.894,244.724,-18.25,0,0,0,0.0,2,1.0,23,20,4,0
6,10411.683,1735.28,3383.429,1086.274,1,0.167,588,5,9904.308,1980.862,0.0,0,0,0,0.0,2,0.951,23,11,1,0
6,9709.149,1618.192,2478.399,686.54,0,0.0,742,6,8110.052,1351.675,-9.833,0,0,0,0.0,3,0.835,23,16,1,0
