client_index,score_gnn,score_contagion,score_final_m2,label_reel,alerte
0,0.72,3.15,1.45,0,VERT
1,99.2,9.27,72.22,1,ROUGE
2,0.18,99.87,30.09,0,ORANGE
3,99.82,65.2,89.43,1,ROUGE
4,99.36,0.0,69.55,1,ORANGE
5,98.39,99.36,98.68,1,ROUGE
6,0.07,0.28,0.13,0,VERT
7,99.2,2.19,70.1,1,ROUGE
8,99.15,2.19,70.06,1,ROUGE
9,0.15,0.55,0.27,0,VERT
10,0.27,0.06,0.21,0,VERT
11,0.01,0.12,0.04,0,VERT
12,1.69,0.56,1.35,0,VERT
13,9.27,17.64,11.78,0,VERT
14,95.51,49.95,81.84,1,ROUGE
15,99.92,25.05,77.46,1,ROUGE
16,93.56,0.0,65.49,1,ORANGE
17,99.36,24.83,77.0,1,ROUGE
18,0.3,0.12,0.25,0,VERT
19,0.15,4.22,1.37,0,VERT
20,0.07,5.59,1.72,0,VERT
21,0.09,32.65,9.86,0,VERT
22,0.13,16.82,5.14,0,VERT
23,0.11,0.18,0.13,0,VERT
24,16.56,0.15,11.64,0,VERT
25,0.07,2.91,0.92,0,VERT
26,0.17,4.22,1.39,0,VERT
27,0.31,3.43,1.25,0,VERT
28,0.37,0.16,0.31,0,VERT
29,0.16,0.25,0.19,0,VERT
30,0.43,0.37,0.41,0,VERT
31,4.55,0.24,3.26,0,VERT
32,0.18,0.26,0.21,0,VERT
33,0.28,1.26,0.57,0,VERT
34,0.2,1.0,0.44,0,VERT
35,0.91,0.75,0.86,0,VERT
36,0.63,0.64,0.63,0,VERT
37,1.08,0.41,0.88,0,VERT
38,0.04,0.18,0.08,0,VERT
39,0.09,0.14,0.11,0,VERT
40,0.06,0.4,0.16,0,VERT
41,0.17,0.4,0.24,0,VERT
42,0.61,0.92,0.7,0,VERT
43,1.21,0.61,1.03,0,VERT
44,1.1,2.55,1.54,0,VERT
45,0.75,1.58,1.0,0,VERT
46,0.46,1.72,0.84,0,VERT
47,0.2,0.38,0.25,0,VERT
48,2.54,0.46,1.92,0,VERT
49,4.51,0.46,3.3,0,VERT
50,0.05,0.57,0.21,0,VERT
51,1.63,0.03,1.15,0,VERT
52,0.0,1.5,0.45,0,VERT
53,0.0,1.45,0.44,0,VERT
54,3.55,0.07,2.51,0,VERT
55,0.07,1.02,0.36,0,VERT
56,0.07,0.38,0.16,0,VERT
57,1.08,0.36,0.87,0,VERT
58,0.09,0.51,0.22,0,VERT
59,0.46,0.47,0.46,0,VERT
60,0.54,0.4,0.5,0,VERT
61,0.14,0.47,0.24,0,VERT
62,0.31,0.45,0.35,0,VERT
63,0.8,0.41,0.68,0,VERT
64,0.33,0.42,0.36,0,VERT
65,0.08,0.39,0.17,0,VERT
66,1.01,0.4,0.83,0,VERT
67,0.01,0.68,0.21,0,VERT
68,0.23,0.83,0.41,0,VERT
69,1.19,0.23,0.9,0,VERT
70,0.23,1.33,0.56,0,VERT
71,0.05,1.39,0.45,0,VERT
72,1.87,1.31,1.7,0,VERT
73,0.4,0.36,0.39,0,VERT
74,3.95,1.17,3.12,0,VERT
75,1.99,4.15,2.64,0,VERT
76,0.38,5.45,1.9,0,VERT
77,19.06,1.06,13.66,0,VERT
78,0.81,4.55,1.93,0,VERT
79,2.9,1.87,2.59,0,VERT
80,0.02,2.21,0.68,0,VERT
81,1.52,25.82,8.81,0,VERT
82,5.92,51.33,19.54,0,VERT
83,4.48,43.15,16.08,0,VERT
84,26.8,4.57,20.13,0,VERT
85,3.1,4.27,3.45,0,VERT
86,99.56,4.27,70.97,1,ROUGE
87,2.28,52.11,17.23,0,VERT
88,9.0,52.39,22.02,0,VERT
89,4.67,22.56,10.04,0,VERT
90,2.0,25.77,9.13,0,VERT
91,20.71,3.04,15.41,0,VERT
92,5.22,9.09,6.38,0,VERT
93,0.27,4.95,1.67,0,VERT
94,0.32,1.16,0.57,0,VERT
95,2.31,0.22,1.68,0,VERT
96,0.11,0.72,0.29,0,VERT
97,1.59,0.34,1.21,0,VERT
98,0.63,0.19,0.5,0,VERT
99,1.1,0.82,1.02,0,VERT
100,0.2,0.62,0.33,0,VERT
101,0.14,0.62,0.28,0,VERT
102,0.0,0.75,0.22,0,VERT
103,0.0,0.3,0.09,0,VERT
104,0.77,16.85,5.6,0,VERT
105,0.0,67.81,20.34,0,VERT
106,7.42,0.0,5.19,0,VERT
107,0.86,2.55,1.37,0,VERT
108,0.12,1.38,0.5,0,VERT
109,0.15,0.97,0.4,0,VERT
110,0.15,1.0,0.41,0,VERT
111,0.22,0.15,0.2,0,VERT
112,2.55,0.66,1.98,0,VERT
113,3.0,2.55,2.86,0,VERT
114,0.74,0.3,0.61,0,VERT
115,0.3,0.71,0.42,0,VERT
116,0.01,0.81,0.25,0,VERT
117,0.21,0.35,0.25,0,VERT
118,0.53,0.14,0.41,0,VERT
119,0.55,0.26,0.46,0,VERT
120,0.03,0.23,0.09,0,VERT
121,0.22,0.03,0.16,0,VERT
122,0.25,1.16,0.52,0,VERT
123,0.01,0.06,0.03,0,VERT
124,0.04,1.34,0.43,0,VERT
125,0.76,1.13,0.87,0,VERT
126,0.27,0.96,0.48,0,VERT
127,4.19,0.86,3.19,0,VERT
128,1.17,0.86,1.08,0,VERT
129,0.58,2.65,1.2,0,VERT
130,2.59,1.5,2.26,0,VERT
131,24.53,1.1,17.5,0,VERT
132,0.15,13.28,4.09,0,VERT
133,2.04,8.3,3.92,0,VERT
134,98.71,3.6,70.18,1,ROUGE
135,3.36,28.74,10.97,0,VERT
136,8.8,4.64,7.55,0,VERT
137,1.52,25.57,8.73,0,VERT
138,5.93,18.85,9.81,0,VERT
139,11.3,1.25,8.29,0,VERT
140,2.41,5.7,3.4,0,VERT
141,0.1,5.29,1.66,0,VERT
142,0.09,1.53,0.52,0,VERT
143,0.06,25.03,7.55,0,VERT
144,0.1,33.38,10.09,0,VERT
145,99.93,50.03,84.96,1,ROUGE
146,10.62,0.19,7.49,0,VERT
147,0.39,54.99,16.77,0,VERT
148,0.0,22.03,6.61,0,VERT
149,0.56,19.91,6.36,0,VERT
150,0.01,0.05,0.02,0,VERT
151,0.06,0.19,0.1,0,VERT
152,0.02,0.14,0.06,0,VERT
153,0.07,0.12,0.08,0,VERT
154,0.03,0.19,0.08,0,VERT
155,0.01,0.04,0.02,0,VERT
156,0.01,0.04,0.02,0,VERT
157,0.04,0.01,0.03,0,VERT
158,0.01,0.03,0.02,0,VERT
159,0.02,0.12,0.05,0,VERT
160,0.06,0.16,0.09,0,VERT
161,0.12,0.11,0.12,0,VERT
162,0.02,0.12,0.05,0,VERT
163,0.0,0.26,0.08,0,VERT
164,0.32,0.1,0.25,0,VERT
165,0.01,0.15,0.05,0,VERT
166,0.17,0.15,0.16,0,VERT
167,0.13,0.12,0.13,0,VERT
168,0.74,0.33,0.62,0,VERT
169,0.27,0.59,0.37,0,VERT
170,0.71,0.5,0.65,0,VERT
171,0.32,0.1,0.25,0,VERT
172,0.05,0.0,0.04,0,VERT
173,0.0,0.19,0.06,0,VERT
174,0.0,0.08,0.03,0,VERT
175,0.23,0.07,0.18,0,VERT
176,0.0,0.09,0.03,0,VERT
177,0.0,0.1,0.03,0,VERT
178,0.05,0.08,0.06,0,VERT
179,0.0,7.91,2.37,0,VERT
180,0.0,10.56,3.17,0,VERT
181,0.02,0.0,0.01,0,VERT
182,0.02,0.1,0.04,0,VERT
183,0.03,0.17,0.07,0,VERT
184,0.06,0.18,0.1,0,VERT
185,0.51,0.2,0.42,0,VERT
186,0.1,0.49,0.22,0,VERT
187,0.02,0.57,0.18,0,VERT
188,1.27,0.02,0.89,0,VERT
189,0.43,39.88,12.27,0,VERT
190,0.41,20.08,6.31,0,VERT
191,1.96,0.29,1.46,0,VERT
192,0.66,17.5,5.71,0,VERT
193,99.1,0.5,69.52,1,ORANGE
194,99.05,0.86,69.59,1,ORANGE
195,0.39,52.06,15.89,0,VERT
196,4.26,0.39,3.1,0,VERT
197,99.86,0.47,70.04,1,ROUGE
198,0.79,33.42,10.58,0,VERT
199,0.23,34.44,10.49,0,VERT
200,0.17,25.16,7.67,0,VERT
201,0.29,31.25,9.58,0,VERT
202,0.96,34.53,11.03,0,VERT
203,21.42,0.79,15.23,0,VERT
204,2.66,0.71,2.08,0,VERT
205,1.06,0.98,1.04,0,VERT
206,7.41,1.57,5.66,0,VERT
207,1.57,4.23,2.37,0,VERT
208,1.92,5.85,3.1,0,VERT
209,1.59,26.05,8.93,0,VERT
210,2.72,26.19,9.76,0,VERT
211,99.87,22.15,76.55,1,ROUGE
212,1.38,15.14,5.51,0,VERT
213,0.23,1.59,0.64,0,VERT
214,0.01,42.14,12.65,0,VERT
215,0.73,17.07,5.63,0,VERT
216,83.55,20.36,64.59,0,ORANGE
217,0.3,0.69,0.42,0,VERT
218,0.0,21.28,6.38,0,VERT
219,0.54,28.09,8.81,0,VERT
220,0.64,0.43,0.58,0,VERT
221,0.29,0.44,0.34,0,VERT
222,0.27,0.5,0.34,0,VERT
223,0.42,2.2,0.95,0,VERT
224,3.85,2.02,3.3,0,VERT
225,5.5,1.54,4.31,0,VERT
226,0.14,1.04,0.41,0,VERT
227,0.56,0.33,0.49,0,VERT
228,4.4,0.37,3.19,0,VERT
229,0.25,0.27,0.26,0,VERT
230,0.36,2.14,0.89,0,VERT
231,0.34,4.87,1.7,0,VERT
232,0.0,0.08,0.02,0,VERT
233,0.08,0.0,0.06,0,VERT
234,0.11,3.06,1.0,0,VERT
235,1.53,3.69,2.18,0,VERT
236,14.37,0.46,10.2,0,VERT
237,0.01,3.55,1.07,0,VERT
238,0.32,2.97,1.11,0,VERT
239,0.07,1.09,0.38,0,VERT
240,0.89,0.87,0.88,0,VERT
241,0.87,0.27,0.69,0,VERT
242,0.88,0.16,0.66,0,VERT
243,0.04,0.33,0.13,0,VERT
244,0.34,0.46,0.38,0,VERT
245,0.06,0.7,0.25,0,VERT
246,0.17,25.28,7.7,0,VERT
247,1.18,0.23,0.89,0,VERT
248,0.29,0.54,0.36,0,VERT
249,98.77,0.99,69.44,1,ORANGE
250,2.71,25.39,9.51,0,VERT
251,2.46,20.81,7.97,0,VERT
252,0.02,20.95,6.3,0,VERT
253,0.27,25.12,7.73,0,VERT
254,0.1,0.95,0.35,0,VERT
255,0.43,1.06,0.62,0,VERT
256,0.11,0.0,0.08,0,VERT
257,10.05,2.06,7.65,0,VERT
258,2.19,66.81,21.58,0,VERT
259,2.09,2.19,2.12,0,VERT
260,4.23,0.86,3.22,0,VERT
261,0.4,1.16,0.63,0,VERT
262,2.06,3.68,2.55,0,VERT
263,0.6,1.86,0.98,0,VERT
264,0.15,1.81,0.65,0,VERT
265,1.82,1.97,1.87,0,VERT
266,1.12,1.28,1.17,0,VERT
267,1.28,3.29,1.88,0,VERT
268,1.32,1.66,1.42,0,VERT
269,1.09,0.76,0.99,0,VERT
270,0.76,1.23,0.9,0,VERT
271,5.14,1.3,3.99,0,VERT
272,13.47,23.23,16.4,0,VERT
273,6.87,55.5,21.46,0,VERT
274,97.53,20.77,74.5,1,ROUGE
275,10.28,15.63,11.88,0,VERT
276,0.2,15.63,4.83,0,VERT
277,0.13,8.98,2.79,0,VERT
278,6.94,8.98,7.55,0,VERT
279,41.98,27.03,37.49,0,ORANGE
280,0.08,1.8,0.6,0,VERT
281,8.03,2.41,6.34,0,VERT
282,1.73,2.04,1.82,0,VERT
283,1.87,1.42,1.74,0,VERT
284,0.04,0.73,0.25,0,VERT
285,0.73,0.04,0.52,0,VERT
286,0.01,0.53,0.17,0,VERT
287,0.01,0.53,0.17,0,VERT
288,0.38,0.1,0.3,0,VERT
289,0.39,0.1,0.3,0,VERT
290,0.01,0.31,0.1,0,VERT
291,1.34,0.26,1.02,0,VERT
292,0.93,0.32,0.75,0,VERT
293,0.29,0.55,0.37,0,VERT
294,0.45,0.25,0.39,0,VERT
295,1.01,0.02,0.71,0,VERT
296,0.02,1.26,0.39,0,VERT
297,0.49,3.23,1.31,0,VERT
298,0.01,2.7,0.82,0,VERT
299,6.55,0.0,4.59,0,VERT
300,0.0,0.2,0.06,0,VERT
301,0.13,1.15,0.44,0,VERT
302,0.97,1.15,1.02,0,VERT
303,0.12,25.18,7.64,0,VERT
304,0.09,16.8,5.1,0,VERT
305,0.32,20.16,6.27,0,VERT
306,5.06,25.18,11.1,0,VERT
307,0.04,1.76,0.55,0,VERT
308,99.59,1.14,70.05,1,ROUGE
309,0.09,0.15,0.11,0,VERT
310,0.1,0.1,0.1,0,VERT
311,0.11,24.96,7.56,0,VERT
312,0.06,0.25,0.12,0,VERT
313,0.04,0.3,0.12,0,VERT
314,0.11,0.07,0.1,0,VERT
315,0.74,0.12,0.55,0,VERT
316,0.06,0.12,0.08,0,VERT
317,0.11,0.07,0.1,0,VERT
318,0.13,0.08,0.11,0,VERT
319,0.09,0.51,0.22,0,VERT
320,0.29,0.69,0.41,0,VERT
321,0.23,0.91,0.43,0,VERT
322,1.48,0.39,1.15,0,VERT
