client_id,horizon_mois,montant_regle_pred,lower_80,upper_80,model,label_risque,gouvernorat_code,retard_moyen_jours,montant_ttc_moyen,retard_pred,risque_tendance,alerte_prev
0,1,0.0031686797738075256,0.0026933778077363967,0.003643981739878654,N-HiTS,0,17,0.158,-21.628,0.77,2.4368,ORANGE
0,2,0.00046031270176172256,0.0003912657964974642,0.0005293596070259809,N-HiTS,0,17,0.158,-21.628,0.0,0.0,VERT
0,3,0.0011031143367290497,0.0009376471862196922,0.0012685814872384071,N-HiTS,0,17,0.158,-21.628,1.66,5.2532,ORANGE
0,4,0.0,0.0,0.0,N-HiTS,0,17,0.158,-21.628,2.04,6.4557,ORANGE
0,5,0.008290115743875504,0.0070465983822941775,0.009533633105456829,N-HiTS,0,17,0.158,-21.628,0.0,0.0002,VERT
0,6,0.005034736357629299,0.0042795259039849045,0.005789946811273694,N-HiTS,0,17,0.158,-21.628,0.0,0.0001,VERT
1,1,1130.862060546875,961.2327514648438,1300.491369628906,N-HiTS,0,14,-0.908,1199.228,0.0,-0.4715,VERT
1,2,1256.0205078125,1067.617431640625,1444.423583984375,N-HiTS,0,14,-0.908,1199.228,0.0,-0.5237,VERT
1,3,1351.173583984375,1148.4975463867188,1553.8496215820312,N-HiTS,0,14,-0.908,1199.228,0.0,-0.5634,VERT
1,4,1368.7957763671875,1163.4764099121094,1574.1151428222654,N-HiTS,0,14,-0.908,1199.228,0.0,-0.5707,VERT
1,5,1382.5634765625,1175.178955078125,1589.9479980468748,N-HiTS,0,14,-0.908,1199.228,0.85,-1.0445,VERT
1,6,1314.627685546875,1117.4335327148438,1511.821838378906,N-HiTS,0,14,-0.908,1199.228,0.65,-0.906,VERT
10,1,568.6107177734375,483.31911010742186,653.9023254394531,N-HiTS,0,19,-1.558,566.092,0.0,-0.5022,VERT
10,2,609.75341796875,518.2904052734375,701.2164306640625,N-HiTS,0,19,-1.558,566.092,0.7,-0.7632,VERT
10,3,656.6452026367188,558.1484222412109,755.1419830322264,N-HiTS,0,19,-1.558,566.092,0.0,-0.58,VERT
10,4,648.364501953125,551.1098266601563,745.6191772460937,N-HiTS,0,19,-1.558,566.092,0.0,-0.5727,VERT
10,5,652.9723510742188,555.026498413086,750.9182037353515,N-HiTS,0,19,-1.558,566.092,0.0,-0.5767,VERT
10,6,608.5298461914062,517.2503692626952,699.8093231201171,N-HiTS,0,19,-1.558,566.092,0.0,-0.5375,VERT
100,1,932.1942138671875,792.3650817871094,1072.0233459472656,N-HiTS,0,17,-0.665,979.973,1.09,-1.2952,VERT
100,2,1030.0838623046875,875.5712829589844,1184.5964416503905,N-HiTS,0,17,-0.665,979.973,0.0,-0.5256,VERT
100,3,1108.0538330078125,941.8457580566406,1274.2619079589842,N-HiTS,0,17,-0.665,979.973,0.0,-0.5653,VERT
100,4,1126.5445556640625,957.5628723144531,1295.5262390136718,N-HiTS,0,17,-0.665,979.973,0.0,-0.5748,VERT
100,5,1143.8172607421875,972.2446716308593,1315.3898498535154,N-HiTS,0,17,-0.665,979.973,1.78,-1.9219,VERT
100,6,1096.8338623046875,932.3087829589844,1261.3589416503905,N-HiTS,0,17,-0.665,979.973,0.0,-0.5596,VERT
101,1,2009.2216796875,1707.838427734375,2310.6049316406247,N-HiTS,0,23,-37.053,2209.97,0.0,-0.4546,VERT
101,2,2196.32568359375,1866.8768310546875,2525.7745361328125,N-HiTS,0,23,-37.053,2209.97,0.0,-0.4969,VERT
101,3,2396.226806640625,2036.7927856445312,2755.6608276367188,N-HiTS,0,23,-37.053,2209.97,0.0,-0.5421,VERT
101,4,2414.16552734375,2052.0406982421873,2776.290356445312,N-HiTS,0,23,-37.053,2209.97,0.0,-0.5462,VERT
101,5,2478.37255859375,2106.6166748046876,2850.1284423828124,N-HiTS,0,23,-37.053,2209.97,0.0,-0.5607,VERT
101,6,2350.45947265625,1997.8905517578125,2703.028393554687,N-HiTS,0,23,-37.053,2209.97,0.0,-0.5318,VERT
102,1,555.7350463867188,472.3747894287109,639.0953033447265,N-HiTS,0,16,-0.835,605.173,3.45,-2.525,VERT
102,2,590.6488037109375,502.0514831542969,679.2461242675781,N-HiTS,0,16,-0.835,605.173,0.0,-0.488,VERT
