client_id,label_risque,score_anomalie_if,score_anomalie_lstm,score_anomalie_river,score_anomalie_final,pred_isolation_forest,pred_lstm,pred_river,pred_ensemble,nb_votes,alerte,raison_principale,retard_moyen_jours,taux_retard,ratio_encaissement,montant_ttc_moyen
0,0,0.4915,0.0006,0.0,0.1968,1,1,0,1,2,ORANGE,Comportement statistiquement atypique,-43.9,0.0,1.532,23801.0
1,1,0.0647,0.0,0.0,0.0259,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,1410.188
2,0,0.0128,0.0,0.0,0.0051,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,372.087
3,1,0.0628,0.0,0.0,0.0251,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,732.148
4,1,0.0829,0.0,0.0,0.0332,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,265.214
5,1,0.0603,0.0,0.0,0.0241,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,813.402
6,0,0.023,0.0,0.0,0.0092,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,108.214
7,1,0.065,0.0,0.0,0.026,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,2087.468
8,1,0.0684,0.0,0.0,0.0273,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,1207.036
9,0,0.1294,0.0,0.0,0.0518,0,0,0,0,0,VERT,Comportement statistiquement atypique,-37.0,0.0,0.99,1022.697
10,0,0.0168,0.0,0.0,0.0067,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,509.217
11,0,0.1155,0.0,0.0,0.0462,0,0,0,0,0,VERT,Comportement statistiquement atypique,-42.75,0.0,1.0,341.566
12,0,0.0185,0.0,0.0,0.0074,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.942,175.866
