client_id,label_risque,prob_defaut,score_solvabilite,classe_risque,alerte,prob_xgb,prob_lgb,gnn_risk_score,score_anomalie,tendance_m3
0,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0862,0.07499353525652644,2.4368
1,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9971,0.40616917697331495,-0.4715
2,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0025,0.11509103485975274,-0.4435
3,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9972,0.447897926895394,-0.4145
4,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9939,0.44766513990705104,-27.3638
5,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9531999999999999,0.46574287457143454,-0.6082
6,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0171,0.08063844662546124,-0.425
7,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9893000000000001,0.4784148981536199,-0.4291
8,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9865,0.5176182077580754,-0.4563
9,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0001,0.08923242833630429,-0.4259
10,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0055000000000000005,0.017783240073471606,-0.5022
11,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0003,0.03345948897592426,-0.451
12,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.12789999999999999,0.018619459354830118,-0.4289
13,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.1231,0.21600839240238104,-0.4376
14,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9612999999999999,0.6312244081955163,-0.5064
15,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9993000000000001,0.40797176857295014,-0.4379
16,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.9831,0.4076262480329825,-0.4263
17,1,0.9773,5.0,RISQUE_ELEVE,ROUGE,0.9996,1.0,0.998,0.6691595783726677,-0.4346
18,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0027,0.0542788513103212,-0.4585
19,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0007000000000000001,0.00847106244071986,-0.4504
20,0,0.0052,95.0,SAIN,VERT,1e-04,0.0,0.0011,0.12354449796606422,-0.4579
