feature,shap_importance
gnn_risk_label,7.0182743
gnn_risk_score,1.0004499
risk_composite,0.14278921
gnn_final_score,0.08819994
risk_network_x_anomaly,0.028323106
mode_paiement_code,0.022166071
nature_client_code,0.01263765
ratio_encaissement,0.009522772
retard_moyen_jours,0.0054639466
nb_reglements,0.005416319
retard_acceleration,0.0050306376
gouvernorat_code,0.0043041073
encours_ratio_forecast,0.0042727366
montant_ttc_moyen,0.003184586
montant_ttc_std,0.0028944884
taux_retard,0.0028926148
contagion_score,0.0027471515
delta_retard_forecast,0.002714963
score_anomalie_final,0.0025332342
nb_factures,0.0021754424
gnn_x_anomaly_final,0.0021230555
montant_reg_moyen,0.001996981
score_anomalie_if,0.0015813303
retard_max_jours,0.00056470645
score_anomalie_lstm,0.0003890886
pred_ensemble,0.00022580283
m3_retard_h3,0.0
m3_montant_h3,0.0
m3_montant_h1,0.0
m3_retard_h1,0.0
m3_tendance_h1,0.0
contagion_x_tendance,0.0
