nb_factures,montant_ttc_total,montant_ttc_moyen,montant_ttc_max,montant_ttc_std,nb_avoirs,ratio_avoirs,anciennete_jours,nb_reglements,montant_reg_total,montant_reg_moyen,retard_moyen_jours,retard_max_jours,nb_retards_positifs,nb_retards_graves,taux_retard,nb_modes_distincts,ratio_encaissement,gouvernorat_code,nature_client_code,mode_paiement_code,label_risque
2,23215.899,9891.29,16965.83,1007.732,0,0.006,573,1,2029.716,515.04,0.293,0,0,0,0.0,0,0.127,24,11,7,1
9,30897.954,3505.255,5629.327,2195.407,0,0.001,749,8,40658.867,219.108,-53.842,-24,0,0,0.0,2,0.982,17,2,4,0
13,10706.864,847.029,2379.025,275.38,0,0.466,757,2,2331.821,832.657,-0.253,0,0,0,0.002,1,0.954,4,4,1,0
15,30180.387,623.8,8443.291,2100.319,0,0.146,703,18,81172.818,4779.64,-39.921,1,1,0,0.137,4,0.445,23,11,5,0
5,0.0,2911.439,26641.171,579.389,0,0.005,38,2,2268.816,1468.519,0.308,0,0,0,0.001,2,0.98,15,11,7,0
1,0.0,-308.458,499.223,832.12,0,0.003,777,7,-2178.36,-94.169,0.462,0,0,0,0.002,1,0.998,20,15,1,0
8,31681.83,2696.632,1526.136,868.434,0,0.004,571,2,12540.631,516.631,0.619,0,0,0,0.0,1,0.978,2,8,1,0
1,141940.258,6712.775,10185.578,8058.81,0,-0.003,92,2,4750.058,91.291,0.765,0,0,0,0.002,0,0.0,17,3,7,1
5,15503.493,-60.484,1135.052,-99.498,1,0.409,734,2,7391.989,654.869,-16.484,0,0,0,0.0,3,0.274,17,16,1,0
16,28632.146,1120.288,1182.398,1820.473,0,0.153,490,42,63050.792,1342.505,-22.914,0,0,0,0.0,3,1.568,16,11,1,0
3,9971.308,1309.256,1584.287,471.758,0,-0.001,551,14,3020.156,1707.845,-38.972,-1,0,0,0.001,1,0.962,16,15,2,0
11,80633.649,1381.087,14652.905,2820.795,4,0.12,761,63,110474.505,8005.669,-24.688,19,1,0,0.071,3,0.781,3,15,5,0
15,13474.908,831.884,1924.608,642.68,1,-0.003,635,5,-1666.219,527.683,-0.777,0,0,0,0.0,3,0.977,17,16,1,0
13,24247.1,3012.933,8197.823,669.692,1,0.121,756,6,-4915.327,532.142,-0.207,0,0,0,0.0,1,0.494,15,3,5,0
21,209732.67,1881.618,20533.339,4000.24,1,0.181,781,4,41691.214,2217.259,-33.884,0,0,0,0.001,3,0.248,23,15,1,0
3,0.0,-283.95,407.487,1176.799,0,0.526,798,2,-4286.772,-401.665,2.209,-1,0,0,0.0,1,0.994,17,16,1,0
5,22654.29,3645.472,1411.843,909.176,0,0.002,267,3,5151.14,477.278,0.909,0,0,0,0.0,1,0.987,24,15,1,0
17,13534.112,36.986,2690.596,2633.875,0,-0.001,776,14,31063.831,704.798,-20.912,0,0,0,0.002,2,1.025,20,15,5,0
5,0.0,384.75,2169.883,288.711,1,0.466,591,6,-3606.987,372.45,1.118,-1,0,0,0.0,1,0.962,14,15,1,0
21,166718.915,2340.515,6607.437,2259.916,0,0.07,742,29,48109.954,790.664,-48.735,6,0,0,0.0,3,0.964,17,2,4,0
20,143724.035,3029.322,7888.627,2694.549,1,0.1,707,19,31663.98,1491.786,-23.624,1,0,0,0.06,3,0.955,17,16,1,0
45,305999.021,1371.624,18046.767,1102.761,2,0.279,741,5,65647.55,3730.28,-26.464,0,2,0,0.001,3,0.53,18,8,1,0
18,184674.791,3025.016,26641.494,5445.601,1,0.094,722,101,47358.025,2220.34,-63.21,15,1,0,0.355,3,0.844,0,1,5,0
17,20170.578,2576.33,25338.963,13126.383,2,0.136,784,20,100885.365,8886.046,-11.858,22,0,0,0.002,5,0.489,0,3,5,0
3,11523.887,2412.45,4136.233,908.975,0,0.002,371,0,1610.259,1849.638,-48.235,-1,0,0,0.0,2,0.136,0,1,4,0
3,0.0,516.486,2153.14,1330.106,0,0.001,165,3,-4247.379,722.662,-0.081,1,0,0,0.0,1,0.987,20,20,1,0
18,29783.181,2828.287,8102.92,2463.119,0,0.111,264,26,23817.358,3013.747,-41.217,-53,0,0,0.0,2,0.989,2,11,5,0
4,25155.7,406.206,3094.063,1177.011,1,0.527,481,6,-5762.3,2406.102,0.889,-1,0,0,0.002,3,0.0,19,11,1,0
1,21644.983,824.186,2831.758,1511.537,0,-0.003,679,1,4164.458,788.028,0.061,-55,0,0,0.0,1,0.981,1,15,1,0
17,142677.278,3091.064,21803.477,2731.239,0,0.003,742,29,8755.126,2561.825,0.147,0,0,0,0.0,4,0.809,14,11,6,0
43,37829.673,3082.93,17993.268,8749.285,8,0.122,775,21,445661.176,1868.496,-24.759,0,1,0,0.001,3,0.488,6,9,5,0
4,30453.977,1808.085,2214.449,1422.281,0,0.095,751,13,24375.797,474.014,0.017,0,1,0,0.001,2,0.472,0,3,5,0
3,41749.42,2312.711,1772.644,93.95,0,0.007,773,3,4900.231,53.178,-47.843,0,4,0,0.0,1,1.002,15,15,6,0
1,0.0,2511.357,2104.664,1546.706,0,0.003,506,1,-3362.017,802.226,0.377,0,0,0,0.002,1,0.981,0,21,1,0
11,5344.375,-258.388,4086.816,517.467,0,-0.001,787,3,5092.539,364.8,0.312,0,0,0,0.0,1,1.016,20,21,5,0
4,9331.526,4994.475,3252.134,686.222,0,0.0,563,3,8998.041,562.42,-49.305,-19,0,0,0.0,2,0.954,3,11,5,0
11,8974.486,724.76,2522.758,1440.05,4,0.007,572,2,-175.042,1270.883,0.268,0,0,0,0.0,1,0.307,14,11,1,0
5,37757.816,3875.405,13426.305,427.558,0,0.002,754,7,10224.587,1016.472,-0.34,0,0,0,0.0,0,0.0,2,4,2,1
43,78247.584,3175.159,24075.613,7389.752,15,0.075,752,19,81822.383,5452.994,-38.775,30,1,2,0.174,5,0.868,22,2,5,0
2,12734.617,3240.172,9183.784,2314.576,0,-0.001,729,1,1609.145,3789.819,-0.239,0,0,0,0.0,2,0.982,23,20,5,0
7,35169.492,3874.117,5865.107,2964.335,0,0.002,738,12,13205.349,3210.413,-0.247,-1,0,0,0.0,2,0.837,17,13,4,0
2,9747.577,752.504,2619.949,440.401,0,0.412,436,1,-491.422,1050.716,0.29,-1,0,0,0.0,1,0.398,9,11,1,0
6,30498.42,1846.805,1369.356,792.647,0,-0.001,740,6,13460.177,1152.083,-31.931,0,0,0,0.0,1,1.007,1,3,4,0
4,13353.239,3984.576,7108.567,653.409,0,0.002,647,4,7964.354,2759.664,-60.763,-37,0,0,0.0,1,0.982,23,4,4,0
1,180173.625,12389.424,11063.07,1519.518,0,0.003,498,1,-3875.25,591.8,1.004,0,0,0,0.001,0,0.0,17,1,7,1
11,28254.231,2834.058,7228.734,2001.133,0,-0.001,227,6,42932.493,5932.685,-47.978,12,3,0,0.061,3,0.31,23,15,5,0
1,6164.246,770.786,2808.743,557.6,0,0.469,733,1,1978.247,2007.419,0.744,1,0,0,0.0,1,1.296,15,19,4,0
6,6735.927,1115.417,471.699,980.061,0,0.0,530,1,-1337.731,702.886,0.443,-1,0,0,0.001,1,0.944,14,11,1,0
1,0.0,-61.931,1217.287,706.687,0,0.003,579,1,-2930.646,661.346,1.107,0,0,0,0.0,1,0.579,12,16,1,0
11,40642.608,2574.5,3261.577,2693.06,1,0.145,770,27,2055.076,1245.392,-58.885,0,0,0,0.069,3,0.831,15,2,5,0
14,143797.407,12202.194,25929.037,6527.311,0,0.001,707,1,25725.67,690.633,0.379,0,0,0,0.002,3,0.139,8,7,2,1
42,29442.026,7164.802,4894.826,2126.522,1,-0.001,776,12,62443.613,155.449,-0.296,0,1,0,0.0,2,0.299,17,11,7,0
10,24758.508,1155.52,3536.828,1219.671,0,0.091,405,6,370724.301,2175.241,-26.921,0,1,0,0.002,1,0.685,4,16,1,0
7,12770.51,2338.116,5548.079,762.127,0,0.003,755,16,11778.918,3649.556,-43.564,-27,0,0,0.0,3,0.992,23,2,4,0
4,34644.057,15399.323,17917.81,13025.53,0,0.005,355,0,5586.158,215.528,-0.223,1,0,0,0.002,0,0.0,9,9,7,1
14,30109.357,587.209,1887.834,308.218,1,0.002,518,8,7593.643,253.548,1.436,1,0,0,0.0,1,0.495,23,3,4,0
12,7969.856,1484.998,7370.69,376.388,0,0.002,235,1,4665.273,2810.896,-2.518,0,0,0,0.0,1,0.456,18,16,4,0
6,3933.268,143.89,2833.727,529.516,0,0.277,575,6,-4790.257,373.443,0.192,0,0,0,0.0,2,0.973,17,15,1,0
